transaction_id,customer_id,transaction_date,transaction_status,coupon_name,burn_date,branch_id
115,261,2023-04-01,burned,rwU-084,2023-06-11,2
116,449,2024-07-06,subscribed,jsw-309,,5
117,424,2023-05-25,subscribed,Bij-994,,3
118,460,2024-07-14,subscribed,yxj-830,,3
119,952,2024-05-05,subscribed,Kob-565,,6
120,676,2024-06-20,burned,JmS-084,2024-08-25,8
121,301,2023-02-14,subscribed,OHA-918,,2
122,919,2024-04-19,burned,nwy-642,2024-05-17,4
123,303,2023-07-14,burned,luD-902,2023-08-26,7
124,287,2022-10-23,burned,Rkr-967,2022-11-04,1
125,395,2024-05-14,burned,rgi-716,2024-06-11,1
126,10,2024-06-26,subscribed,zEe-332,,10
127,707,2024-03-15,subscribed,wiu-172,,7
128,630,2023-10-29,subscribed,mXs-930,,7
129,270,2023-06-27,subscribed,RNS-746,,1
130,592,2024-06-12,subscribed,YSy-589,,1
131,970,2023-03-23,burned,zRz-179,2023-04-01,4
132,605,2024-07-10,subscribed,lKC-819,,5
133,778,2023-09-02,subscribed,FnZ-205,,5
134,844,2022-05-11,subscribed,KeN-236,,4
135,862,2024-06-17,subscribed,Zkj-646,,8
136,361,2024-06-22,burned,sZE-347,2024-09-01,7
137,257,2023-11-06,burned,gyZ-102,2023-11-09,9
138,133,2023-09-19,burned,WzK-249,2023-09-28,7
139,276,2022-08-03,burned,NbG-567,2022-09-02,10
140,776,2024-01-01,burned,XOO-964,2024-01-11,1
141,683,2024-07-04,subscribed,UKO-656,,7
142,972,2023-08-01,burned,Bgo-468,2023-08-31,1
143,513,2024-01-14,burned,tul-199,2024-04-07,7
144,313,2024-07-09,burned,cpA-630,2024-09-21,10
145,576,2023-09-13,subscribed,LEc-178,,8
146,886,2022-11-06,subscribed,caF-606,,9
147,980,2024-07-03,burned,vmy-326,2024-09-11,3
148,284,2024-01-17,subscribed,sPm-260,,4
149,121,2023-08-31,subscribed,IAZ-369,,4
150,107,2023-06-16,burned,tFZ-847,2023-09-13,9
151,933,2024-07-14,subscribed,xmE-712,,7
152,687,2024-06-23,subscribed,TVT-879,,3
153,997,2024-01-23,subscribed,HKV-668,,10
154,204,2023-10-31,burned,sPj-569,2023-11-18,5
155,165,2024-05-09,burned,iYm-076,2024-07-13,7
156,305,2024-01-26,burned,HLz-216,2024-03-25,8
157,497,2024-07-04,subscribed,SCt-697,,1
158,632,2024-01-29,burned,frL-042,2024-03-01,2
159,556,2024-05-04,subscribed,BzI-051,,7
160,824,2023-11-11,subscribed,YbI-850,,2
161,156,2024-06-11,subscribed,IQn-470,,7
162,367,2024-02-06,burned,fIR-045,2024-03-16,9
163,719,2023-07-06,burned,vdB-572,2023-07-07,2
164,902,2024-05-01,burned,caz-493,2024-06-07,7
165,620,2023-07-18,burned,Ece-383,2023-09-14,4
166,251,2024-03-27,subscribed,IDn-508,,2
167,957,2023-10-17,burned,nxF-161,2024-01-10,7
168,916,2024-03-30,subscribed,bFn-385,,5
169,882,2024-04-09,burned,oUu-634,2024-06-20,1
170,334,2023-12-22,burned,uTo-214,2024-02-06,5
171,642,2024-01-15,burned,igA-192,2024-01-26,3
172,969,2024-04-19,subscribed,wyj-831,,7
173,511,2023-03-21,subscribed,HvE-675,,6
174,293,2023-11-03,subscribed,MYX-030,,8
175,20,2023-11-12,subscribed,jwa-955,,5
176,282,2023-11-24,subscribed,Hpy-280,,2
177,797,2023-04-11,burned,dox-623,2023-05-02,9
178,1,2022-07-30,subscribed,SrP-866,,8
179,119,2023-04-19,subscribed,RMr-742,,6
180,35,2024-06-24,subscribed,Bie-681,,10
181,198,2022-12-01,subscribed,NlH-287,,7
182,485,2024-06-22,burned,WxK-972,2024-08-24,9
183,757,2024-01-31,subscribed,uZc-965,,7
184,59,2024-04-18,burned,QCM-296,2024-07-03,3
185,837,2023-08-25,burned,sWL-756,2023-11-16,6
186,161,2023-07-19,burned,FRH-291,2023-08-09,7
187,691,2024-06-30,subscribed,Fer-516,,2
188,206,2022-12-01,burned,qDx-541,2022-12-24,3
189,12,2024-05-27,subscribed,dwQ-592,,4
190,490,2023-07-09,subscribed,ToY-941,,10
191,276,2024-05-21,subscribed,IbV-498,,6
192,693,2024-02-05,subscribed,WBg-772,,1
193,242,2023-03-14,subscribed,OUn-629,,9
194,216,2022-09-18,burned,wKW-498,2022-10-19,5
195,251,2023-09-03,burned,Zxb-691,2023-10-09,7
196,811,2023-03-21,subscribed,XdR-711,,9
197,126,2024-07-07,burned,FwO-903,2024-09-04,9
198,994,2024-01-31,subscribed,xhC-834,,1
199,217,2024-03-23,burned,oVV-952,2024-05-29,1
200,306,2023-10-08,burned,GTs-870,2023-11-26,3
201,797,2023-01-31,burned,zpj-152,2023-04-11,6
202,185,2023-05-15,burned,edX-908,2023-07-17,2
203,39,2024-04-16,burned,ttE-641,2024-07-03,10
204,223,2024-06-07,subscribed,eDG-220,,1
205,184,2022-07-16,subscribed,nfu-112,,1
206,495,2023-07-07,burned,aDo-382,2023-08-07,5
207,427,2023-02-26,subscribed,tIx-993,,4
208,178,2024-01-22,burned,YNH-635,2024-02-13,1
209,919,2023-07-25,subscribed,Blg-841,,4
210,428,2023-04-23,burned,aGD-731,2023-07-12,3
211,294,2024-04-18,burned,FeZ-218,2024-05-30,2
212,852,2023-01-04,burned,xKS-228,2023-01-26,9
213,151,2024-06-13,subscribed,HKM-834,,1
214,384,2023-02-12,subscribed,uLY-609,,7
215,638,2024-06-29,burned,sMW-948,2024-08-22,4
216,813,2024-06-23,burned,qvt-979,2024-09-12,5
217,308,2024-06-24,subscribed,SXh-036,,10
218,336,2024-07-14,subscribed,hXh-248,,5
219,946,2023-04-17,subscribed,nyt-176,,1
220,746,2024-02-27,subscribed,Ger-459,,6
221,892,2023-10-11,subscribed,lVV-698,,9
222,375,2023-02-06,burned,DHE-579,2023-04-05,2
223,8,2024-04-10,subscribed,Mfx-161,,7
224,341,2022-12-16,burned,zme-812,2023-02-17,6
225,129,2024-05-16,burned,ZZb-928,2024-08-07,5
226,776,2024-05-03,subscribed,HBe-858,,4
227,669,2024-07-03,subscribed,cld-714,,4
228,352,2024-01-10,burned,jyk-031,2024-02-10,6
229,358,2023-09-29,subscribed,CpK-904,,4
230,517,2024-07-11,burned,csG-463,2024-08-06,5
231,495,2023-06-25,subscribed,AXB-570,,6
232,86,2024-05-08,subscribed,NNo-770,,5
233,175,2024-05-09,subscribed,XSg-990,,7
234,802,2023-01-14,burned,DeW-939,2023-02-04,9
235,193,2023-03-30,subscribed,khN-045,,10
236,311,2022-10-24,burned,nfe-030,2022-12-28,7
237,119,2022-11-22,subscribed,mrV-853,,7
238,218,2022-11-16,burned,EgP-683,2023-01-18,4
239,427,2023-10-02,subscribed,Ydh-056,,1
240,970,2022-05-27,burned,xrA-525,2022-07-28,8
241,414,2023-12-28,burned,jjV-855,2024-01-31,4
242,114,2024-06-18,burned,WGT-603,2024-08-26,1
243,978,2024-04-07,burned,vih-339,2024-06-18,5
244,145,2022-05-10,burned,bDK-223,2022-07-20,8
245,538,2024-07-10,burned,NjF-195,2024-09-03,4
246,648,2024-04-29,subscribed,Jkg-419,,8
247,303,2023-08-10,burned,joR-411,2023-08-18,8
248,744,2024-05-20,burned,okY-486,2024-05-30,3
249,881,2023-06-23,burned,sCI-852,2023-08-16,9
250,588,2024-06-06,subscribed,AqL-699,,3
251,987,2023-10-12,subscribed,qAd-918,,1
252,840,2024-06-17,subscribed,ejf-979,,2
253,345,2022-07-11,burned,vNa-765,2022-07-29,6
254,814,2023-05-07,subscribed,wey-664,,10
255,964,2024-02-19,subscribed,xrW-056,,2
256,801,2024-02-14,burned,EbE-410,2024-03-16,6
257,1,2022-09-19,burned,krI-075,2022-11-05,1
258,147,2024-07-02,subscribed,ajY-525,,1
259,287,2023-11-17,burned,OtP-914,2024-01-04,5
260,976,2024-02-05,burned,qIS-665,2024-04-24,10
261,654,2023-12-07,burned,Bpt-338,2024-01-03,9
262,53,2024-01-06,burned,DBB-896,2024-01-21,8
263,304,2023-03-05,subscribed,HHK-672,,3
264,69,2024-02-26,burned,huc-784,2024-03-14,3
265,361,2024-04-09,subscribed,dcX-280,,1
266,602,2024-03-19,subscribed,PlX-456,,3
267,958,2024-06-19,subscribed,gyF-487,,1
268,220,2024-01-09,subscribed,ESP-847,,8
269,962,2022-06-16,burned,MSo-818,2022-07-15,1
270,704,2024-02-29,burned,sjI-008,2024-03-15,5
271,966,2023-09-30,burned,lyT-473,2023-10-25,9
272,575,2023-10-14,subscribed,Ldb-221,,7
273,585,2023-02-07,subscribed,MbN-878,,4
274,161,2023-10-05,subscribed,lSC-579,,9
275,681,2024-07-04,burned,QUB-277,2024-10-01,9
276,89,2022-11-11,subscribed,qoi-946,,2
277,688,2023-10-16,burned,mzZ-061,2023-11-06,10
278,781,2023-03-30,burned,ISA-587,2023-04-21,10
279,585,2023-07-12,burned,mOD-124,2023-07-26,6
280,757,2024-03-05,burned,IgL-224,2024-05-28,4
281,589,2024-05-06,subscribed,vmz-404,,8
282,159,2024-07-05,burned,uJN-157,2024-07-17,7
283,489,2023-09-17,subscribed,XxF-690,,7
284,971,2024-03-13,burned,wnY-417,2024-06-02,10
285,324,2024-06-07,subscribed,CDj-152,,9
286,610,2023-11-14,subscribed,jDQ-006,,5
287,381,2023-04-08,burned,phE-486,2023-04-11,6
288,102,2024-06-24,burned,zFj-287,2024-08-08,1
289,494,2023-06-30,burned,Skh-801,2023-09-13,6
290,644,2023-10-23,subscribed,KrM-018,,2
291,614,2024-04-04,burned,wpK-232,2024-04-15,6
292,19,2024-02-04,burned,Rrd-461,2024-02-13,9
293,454,2023-04-23,subscribed,sNL-474,,8
294,482,2023-08-26,burned,VPq-047,2023-11-23,9
295,594,2024-04-02,subscribed,lYf-256,,10
296,397,2023-12-11,burned,kBh-693,2024-01-04,8
297,279,2023-04-16,subscribed,rny-837,,3
298,851,2023-09-17,subscribed,ecc-507,,8
299,365,2024-02-06,burned,gDy-246,2024-03-14,6
300,331,2024-02-01,subscribed,MBs-638,,6
301,641,2023-08-24,burned,aZr-805,2023-10-26,6
302,344,2022-04-27,burned,KCQ-217,2022-07-01,3
303,822,2024-07-10,subscribed,ovq-458,,10
304,455,2024-04-26,burned,lms-900,2024-06-10,1
305,601,2024-07-03,subscribed,eZW-477,,4
306,725,2024-02-23,subscribed,DsQ-458,,10
307,655,2024-03-07,subscribed,qNJ-504,,6
308,65,2024-05-03,subscribed,IbS-983,,10
309,76,2024-01-01,subscribed,aVQ-738,,2
310,711,2024-05-26,subscribed,xtA-015,,7
311,143,2024-06-06,subscribed,fYW-435,,7
312,917,2024-06-02,subscribed,bSe-980,,4
313,915,2024-01-10,burned,VTK-998,2024-03-10,4
314,828,2024-06-30,burned,MMZ-476,2024-09-22,1
315,605,2024-06-19,subscribed,DPi-017,,2
316,473,2023-11-11,burned,VdK-221,2023-11-11,9
317,417,2023-03-25,burned,rkJ-741,2023-03-27,10
318,305,2022-07-27,burned,OeU-050,2022-08-09,8
319,736,2024-06-17,burned,mgh-932,2024-08-23,8
320,497,2024-07-02,burned,SJx-262,2024-09-25,9
321,291,2022-11-30,burned,kHT-522,2023-01-25,7
322,940,2023-08-27,subscribed,GaV-856,,9
323,102,2024-07-05,burned,mIC-769,2024-09-25,10
324,986,2023-12-28,burned,eBI-984,2024-02-10,2
325,267,2023-04-24,burned,eQD-434,2023-07-18,6
326,867,2024-06-12,burned,ZHG-189,2024-07-17,3
327,968,2022-09-09,subscribed,VdP-929,,6
328,622,2023-02-23,subscribed,qjp-900,,3
329,974,2023-07-10,subscribed,kuA-795,,8
330,842,2022-08-14,subscribed,xNS-732,,4
331,962,2021-12-30,burned,YqJ-714,2022-02-09,10
332,942,2023-11-12,subscribed,xji-720,,6
333,777,2024-06-16,subscribed,Baw-697,,9
334,3,2024-07-05,subscribed,JZK-100,,2
335,85,2022-05-27,subscribed,IMN-488,,2
336,794,2023-03-26,burned,bHi-746,2023-05-26,7
337,328,2024-04-16,subscribed,Htp-029,,2
338,816,2022-09-09,burned,Lcd-896,2022-10-06,2
339,450,2024-06-24,subscribed,ukx-769,,4
340,454,2023-10-09,burned,QjH-585,2023-11-11,9
341,924,2024-01-23,burned,IWJ-792,2024-04-06,8
342,629,2024-07-08,subscribed,fhF-410,,2
343,221,2023-05-13,subscribed,xIL-251,,8
344,154,2024-07-06,subscribed,she-788,,4
345,665,2023-08-11,subscribed,zaJ-028,,2
346,12,2023-11-26,burned,OZM-723,2024-02-02,10
347,133,2023-08-27,burned,ZAz-803,2023-11-06,7
348,994,2024-04-11,subscribed,wZn-351,,6
349,304,2023-04-15,subscribed,sLt-799,,10
350,293,2024-03-25,burned,wnA-981,2024-05-02,5
351,975,2024-05-11,subscribed,FTL-084,,1
352,300,2023-05-04,burned,xim-272,2023-07-05,2
353,740,2023-11-17,subscribed,yFA-412,,8
354,783,2024-01-19,burned,PNW-448,2024-03-17,1
355,43,2023-04-17,burned,WLd-742,2023-06-16,3
356,944,2024-05-10,burned,Ryu-957,2024-05-20,2
357,343,2023-08-16,burned,XYG-502,2023-11-06,5
358,326,2024-07-04,burned,SOl-549,2024-08-16,4
359,814,2024-05-20,subscribed,FoH-127,,7
360,498,2024-07-11,burned,ylc-485,2024-08-31,5
361,364,2023-11-20,subscribed,IYY-928,,8
362,891,2023-12-04,burned,mKR-810,2024-02-22,4
363,427,2024-06-13,burned,UZG-151,2024-09-03,6
364,21,2024-07-01,subscribed,CDj-386,,4
365,407,2023-11-25,subscribed,gGm-386,,2
366,619,2023-07-27,subscribed,EJC-823,,1
367,336,2024-07-12,subscribed,yXk-802,,1
368,815,2022-10-12,burned,bmO-329,2022-11-30,8
369,117,2023-10-24,subscribed,qTM-092,,4
370,124,2023-12-23,burned,suQ-914,2024-02-06,5
371,399,2024-06-10,subscribed,rrP-731,,8
372,793,2023-09-20,subscribed,epj-018,,7
373,804,2023-12-16,burned,pBr-675,2024-02-10,8
374,715,2022-11-30,burned,YYn-277,2022-12-02,8
375,51,2024-06-29,subscribed,KFS-094,,6
376,783,2024-01-28,burned,URF-067,2024-04-03,10
377,324,2024-06-27,burned,Hlm-473,2024-08-13,2
378,789,2024-02-20,burned,Dec-703,2024-02-28,6
379,141,2024-02-01,burned,meb-304,2024-02-06,1
380,470,2022-07-21,burned,ZBj-617,2022-09-06,1
381,787,2023-10-07,burned,MNw-365,2023-12-23,3
382,802,2022-06-07,burned,UgP-881,2022-08-06,3
383,334,2023-07-05,burned,CjP-072,2023-08-08,5
384,893,2023-05-12,subscribed,ihn-957,,1
385,964,2024-05-20,burned,AMQ-419,2024-06-06,10
386,373,2022-09-03,subscribed,kdi-817,,6
387,564,2024-05-16,burned,zAc-042,2024-06-11,7
388,494,2023-06-01,burned,SaB-386,2023-08-26,10
389,539,2023-02-18,burned,Qwj-550,2023-03-13,3
390,669,2024-06-27,burned,znm-080,2024-07-07,4
391,751,2023-11-26,subscribed,HPu-780,,10
392,156,2024-06-29,subscribed,DHs-157,,10
393,291,2023-01-23,burned,CWK-183,2023-03-02,10
394,648,2022-07-10,subscribed,ifD-435,,10
395,144,2023-04-22,burned,Bkt-041,2023-05-05,10
396,106,2023-02-18,burned,JPd-562,2023-04-07,3
397,420,2024-07-13,subscribed,dWs-156,,1
398,670,2023-03-26,subscribed,QBu-841,,8
399,658,2024-05-21,burned,OnX-897,2024-07-08,10
400,2,2023-05-21,burned,qPZ-662,2023-05-25,10
401,945,2022-05-07,subscribed,aiy-950,,2
402,589,2024-07-11,burned,MzX-262,2024-09-17,1
403,644,2024-05-27,subscribed,YCr-173,,8
404,90,2024-03-22,burned,HTX-744,2024-05-08,7
405,345,2023-09-25,burned,hFi-960,2023-12-01,7
406,350,2024-07-10,subscribed,NWL-595,,4
407,459,2024-06-19,subscribed,XEG-811,,9
408,263,2024-02-28,subscribed,POv-713,,6
409,351,2023-11-23,burned,ARz-819,2024-02-06,2
410,108,2024-01-24,burned,opf-584,2024-02-07,1
411,586,2024-07-02,burned,aoA-945,2024-08-25,1
412,39,2024-03-06,burned,olm-065,2024-05-01,9
413,909,2024-07-14,subscribed,oJG-105,,4
414,159,2024-07-05,burned,ZLd-057,2024-09-13,5
415,583,2023-10-28,burned,ovX-949,2023-11-30,3
416,959,2023-06-11,burned,vfV-415,2023-07-31,4
417,312,2024-04-28,subscribed,MnX-694,,8
418,241,2022-02-10,burned,uAI-022,2022-02-11,4
419,938,2023-06-21,burned,stM-905,2023-08-24,9
420,445,2024-02-18,subscribed,QiW-085,,9
421,298,2023-05-29,burned,YAs-543,2023-08-16,6
422,952,2024-02-24,burned,YAa-264,2024-05-03,2
423,36,2023-12-31,subscribed,VMw-031,,10
424,84,2024-01-07,burned,JjK-552,2024-01-09,7
425,452,2024-06-15,burned,ZWz-283,2024-06-29,9
426,886,2022-03-15,burned,yQZ-144,2022-05-15,6
427,775,2024-03-30,subscribed,Xvp-804,,3
428,822,2024-07-08,burned,qAm-671,2024-09-04,7
429,385,2023-04-21,burned,FTX-096,2023-06-07,5
430,172,2024-06-10,subscribed,ins-566,,1
431,376,2023-01-05,subscribed,Tso-805,,3
432,685,2023-01-29,burned,OGn-798,2023-04-02,5
433,362,2024-06-25,burned,BQb-088,2024-08-17,7
434,559,2023-10-25,burned,YLr-003,2023-12-21,3
435,891,2022-10-02,burned,QrY-182,2022-10-08,6
436,141,2024-04-25,subscribed,lek-216,,5
437,887,2024-06-23,burned,xTx-415,2024-09-20,1
438,918,2024-04-21,subscribed,Gfp-733,,10
439,118,2021-11-22,subscribed,cWb-042,,6
440,277,2024-05-14,burned,BHZ-317,2024-08-03,8
441,726,2024-07-08,burned,vaB-184,2024-09-30,1
442,220,2023-12-21,subscribed,TRS-056,,2
443,905,2024-05-30,subscribed,RsH-462,,4
444,26,2024-07-08,burned,mJq-692,2024-07-09,2
445,521,2024-04-01,subscribed,Qiw-425,,9
446,783,2023-09-24,burned,KXU-179,2023-12-14,10
447,10,2023-12-14,burned,lvq-131,2024-02-11,8
448,984,2023-02-10,subscribed,nTd-303,,8
449,378,2024-07-03,subscribed,OLj-965,,4
450,633,2023-05-02,burned,TJD-951,2023-05-25,5
451,637,2024-07-06,subscribed,zex-481,,4
452,682,2023-08-05,burned,UAZ-160,2023-10-27,9
453,584,2023-10-01,burned,pMz-085,2023-10-02,2
454,152,2024-03-17,burned,pJm-809,2024-05-26,8
455,720,2023-07-26,subscribed,CFw-458,,2
456,49,2024-06-12,burned,AZt-769,2024-09-07,1
457,154,2024-07-06,burned,TSt-956,2024-07-07,10
458,859,2022-12-13,burned,xRc-559,2023-01-21,3
459,293,2024-01-01,burned,IZt-335,2024-02-23,9
460,580,2024-03-13,burned,ZOp-278,2024-05-17,3
461,50,2023-05-20,burned,FJr-444,2023-06-15,9
462,664,2023-03-25,burned,EJe-079,2023-03-30,7
463,531,2023-09-29,burned,nBa-556,2023-12-13,10
464,612,2024-06-29,burned,FpA-866,2024-09-25,1
465,60,2022-11-28,burned,kWM-480,2023-02-23,10
466,167,2023-10-14,burned,JEU-884,2023-12-29,5
467,202,2022-03-27,subscribed,DBs-206,,9
468,857,2024-07-02,burned,nGP-434,2024-09-05,3
469,146,2024-03-30,burned,ZoA-642,2024-04-01,9
470,915,2023-11-22,burned,dqk-372,2024-01-19,5
471,676,2023-05-22,subscribed,GNc-557,,9
472,970,2023-08-27,burned,Iwx-789,2023-10-29,10
473,993,2022-12-04,subscribed,NAm-394,,6
474,439,2024-07-01,burned,oaN-789,2024-07-29,9
475,242,2023-02-19,burned,lIw-614,2023-04-29,7
476,581,2023-05-29,subscribed,onb-843,,7
477,687,2022-09-26,burned,zyA-998,2022-11-16,8
478,561,2024-03-28,subscribed,lWH-168,,7
479,483,2023-01-27,subscribed,KFF-594,,9
480,108,2023-11-09,burned,hQW-463,2023-12-20,9
481,226,2023-10-13,burned,sRc-575,2023-12-28,6
482,673,2024-07-14,burned,gfK-528,2024-07-22,7
483,631,2023-11-02,burned,mbp-563,2024-01-05,2
484,661,2023-07-19,subscribed,hRy-548,,9
485,977,2024-06-11,subscribed,ipz-858,,1
486,662,2024-06-04,burned,geM-320,2024-08-22,1
487,432,2023-10-01,subscribed,CYA-526,,3
488,805,2023-05-31,subscribed,Rma-878,,6
489,655,2024-04-21,burned,sef-685,2024-05-09,5
490,419,2023-11-01,subscribed,uzy-957,,2
491,988,2024-05-29,subscribed,FLT-124,,9
492,455,2024-04-08,burned,Nya-252,2024-05-05,10
493,160,2023-11-05,subscribed,rfE-671,,4
494,523,2024-02-05,burned,pgk-705,2024-02-20,4
495,650,2024-05-10,subscribed,RnB-290,,5
496,969,2023-12-11,burned,WJS-538,2024-01-03,8
497,590,2023-05-02,subscribed,jmD-121,,10
498,77,2024-05-09,subscribed,kcb-347,,4
499,509,2023-09-25,burned,FBN-698,2023-12-07,5
500,441,2023-03-17,burned,IXV-579,2023-05-30,4
501,254,2024-01-29,burned,kJq-697,2024-01-29,6
502,921,2024-01-22,burned,Hiw-864,2024-04-01,3
503,770,2024-01-14,subscribed,Qui-024,,8
504,320,2024-03-06,subscribed,jAn-808,,6
505,803,2024-03-21,subscribed,WFr-070,,10
506,263,2024-05-10,burned,TmJ-415,2024-07-21,5
507,597,2024-05-10,subscribed,GMM-177,,2
508,658,2024-05-16,subscribed,ywz-458,,10
509,835,2023-11-14,burned,QEw-889,2024-01-17,10
510,554,2022-09-23,burned,Dqv-112,2022-11-26,7
511,374,2024-06-29,subscribed,TQk-386,,2
